Accession	Geographic Location	Geographic Region	Completeness	Length	Virus Pangolin Classification	Isolate Collection date
PP519828.1	South Africa	Africa	PARTIAL	29753	B.1.351	2021-06-12
PP519823.1	South Africa	Africa	PARTIAL	29743	B.1.351	2021-07-26
PP519813.1	South Africa	Africa	PARTIAL	29753	B.1.351	2021-06-22
PP519809.1	South Africa	Africa	COMPLETE	29753	B.1.351	2021-06-24
PP519770.1	South Africa	Africa	PARTIAL	29847	B.1.351	2020-12-26
PP519769.1	South Africa	Africa	PARTIAL	29795	B.1.351	2020-12-28
PP519768.1	South Africa	Africa	PARTIAL	29807	B.1.351	2021-01-02
PP519767.1	South Africa	Africa	PARTIAL	29795	B.1.351	2021-01-05
PP519766.1	South Africa	Africa	PARTIAL	29847	B.1.351	2021-01-05
PP519765.1	South Africa	Africa	PARTIAL	29847	B.1.351	2021-01-12
PP519764.1	South Africa	Africa	PARTIAL	29798	B.1.351	2021-01-14
PP519763.1	South Africa	Africa	PARTIAL	29847	B.1.351	2021-04-12
PP519762.1	South Africa	Africa	PARTIAL	29798	B.1.351	2021-04-11
PP519761.1	South Africa	Africa	PARTIAL	29801	B.1.351	2021-04-13
PP519760.1	South Africa	Africa	PARTIAL	29847	B.1.351	2021-04-14
PP519759.1	South Africa	Africa	PARTIAL	29847	B.1.351	2021-04-14
PP519758.1	South Africa	Africa	PARTIAL	29846	B.1.351	2021-04-14
PP519757.1	South Africa	Africa	PARTIAL	29847	B.1.351	2021-04-14
PP519756.1	South Africa	Africa	PARTIAL	29847	B.1.351	2021-03-27
PP519755.1	South Africa	Africa	PARTIAL	29797	B.1.351	2021-03-29
PP519754.1	South Africa	Africa	PARTIAL	29797	B.1.351	2021-03-31
PP519753.1	South Africa	Africa	PARTIAL	29847	B.1.351	2021-03-27
PP519752.1	South Africa	Africa	PARTIAL	29847	B.1.351	2021-03-29
PP519751.1	South Africa	Africa	PARTIAL	29797	B.1.351	2021-03-29
PP519750.1	South Africa	Africa	PARTIAL	29847	B.1.351	2021-04-01
PP519749.1	South Africa	Africa	PARTIAL	29800	B.1.351	2021-04-01
PP519748.1	South Africa	Africa	PARTIAL	29847	B.1.351	2021-03-29
PP519747.1	South Africa	Africa	PARTIAL	29847	B.1.351	2021-03-31
PP519746.1	South Africa	Africa	PARTIAL	29854	B.1.351	2021-04-09
PP519745.1	South Africa	Africa	PARTIAL	29798	B.1.351	2021-04-04
PP519744.1	South Africa	Africa	PARTIAL	29847	B.1.351	2021-04-05
PP519743.1	South Africa	Africa	PARTIAL	29847	B.1.351	2021-04-06
PP519742.1	South Africa	Africa	PARTIAL	29798	B.1.351	2021-04-07
PP519741.1	South Africa	Africa	PARTIAL	29847	B.1.351	2021-04-07
PP519740.1	South Africa	Africa	PARTIAL	29832	B.1.351	2021-04-09
PP519739.1	South Africa	Africa	PARTIAL	29844	B.1.351	2021-04-06
PP519738.1	South Africa	Africa	PARTIAL	29847	B.1.351	2021-04-07
PP519737.1	South Africa	Africa	PARTIAL	29847	B.1.351	2021-04-07
PP519736.1	South Africa	Africa	PARTIAL	29847	B.1.351	2021-04-08
PP519729.1	South Africa	Africa	PARTIAL	29753	B.1.351	2021-06-13
PP519725.1	South Africa	Africa	PARTIAL	29753	B.1.351	2021-06-14
PP519687.1	South Africa	Africa	PARTIAL	29751	B.1.351	2021-06-18
PP519666.1	South Africa	Africa	PARTIAL	29753	B.1.351	2021-06-27
PP519648.1	South Africa	Africa	PARTIAL	29744	B.1.351	2021-06-15
PP519602.1	South Africa	Africa	PARTIAL	29797	B.1.351	2020-11-02
PP519587.1	South Africa	Africa	PARTIAL	29798	B.1.351	2021-02-20
PP519586.1	South Africa	Africa	PARTIAL	29847	B.1.351	2021-02-08
PP519585.1	South Africa	Africa	PARTIAL	29798	B.1.351	2021-02-01
PP519574.1	South Africa	Africa	PARTIAL	29847	B.1.351	2020-11-04
PP519573.1	South Africa	Africa	PARTIAL	29856	B.1.351	2020-11-06
PP519572.1	South Africa	Africa	PARTIAL	29797	B.1.351	2020-12-12
PP519571.1	South Africa	Africa	PARTIAL	29847	B.1.351	2020-12-02
PP519570.1	South Africa	Africa	PARTIAL	29856	B.1.351	2020-10-23
PP519569.1	South Africa	Africa	PARTIAL	29849	B.1.351	2020-11-04
PP519567.1	South Africa	Africa	PARTIAL	29821	B.1.351	2020-11-12
PP519566.1	South Africa	Africa	PARTIAL	29880	B.1.351	2020-11-18
PP519560.1	South Africa	Africa	PARTIAL	29847	B.1.351	2021-01-25
PP519559.1	South Africa	Africa	PARTIAL	29798	B.1.351	2020-12-21
PP519558.1	South Africa	Africa	PARTIAL	29847	B.1.351	2021-02-17
PP519554.1	South Africa	Africa	PARTIAL	29812	B.1.351	2020-11-30
PP519553.1	South Africa	Africa	PARTIAL	29821	B.1.351	2020-12-01
PP519552.1	South Africa	Africa	PARTIAL	29811	B.1.351	2020-11-19
PP519551.1	South Africa	Africa	PARTIAL	29813	B.1.351	2020-12-02
PP519550.1	South Africa	Africa	PARTIAL	29814	B.1.351	2020-12-14
PP519549.1	South Africa	Africa	PARTIAL	29825	B.1.351	2020-12-21
PP519548.1	South Africa	Africa	PARTIAL	29815	B.1.351	2020-11-23
PP519547.1	South Africa	Africa	PARTIAL	29817	B.1.351	2020-12-21
PP519546.1	South Africa	Africa	PARTIAL	29814	B.1.351	2020-12-29
PP519537.1	South Africa	Africa	PARTIAL	29798	B.1.351	2021-03-20
PP519534.1	South Africa	Africa	PARTIAL	29847	B.1.351	2021-01-18
PP519533.1	South Africa	Africa	PARTIAL	29797	B.1.351	2021-01-19
PP519532.1	South Africa	Africa	PARTIAL	29795	B.1.351	2021-01-11
PP519530.1	South Africa	Africa	PARTIAL	29786	B.1.351	2021-01-15
PP519529.1	South Africa	Africa	PARTIAL	29847	B.1.351	2021-01-22
PP519528.1	South Africa	Africa	PARTIAL	29797	B.1.351	2021-01-22
PP519527.1	South Africa	Africa	PARTIAL	29786	B.1.351	2020-11-23
PP519526.1	South Africa	Africa	PARTIAL	29801	B.1.351	2020-12-31
PP519525.1	South Africa	Africa	PARTIAL	29797	B.1.351	2021-02-04
PP519524.1	South Africa	Africa	PARTIAL	29795	B.1.351	2021-02-03
PP519523.1	South Africa	Africa	PARTIAL	29807	B.1.351	2021-02-03
PP519522.1	South Africa	Africa	PARTIAL	29852	B.1.351	2021-02-02
PP519520.1	South Africa	Africa	PARTIAL	29795	B.1.351	2020-12-23
PP519519.1	South Africa	Africa	PARTIAL	29762	B.1.351	2020-12-16
PP519517.1	South Africa	Africa	PARTIAL	29787	B.1.351	2020-12-31
PP519516.1	South Africa	Africa	PARTIAL	29794	B.1.351	2020-12-28
PP519514.1	South Africa	Africa	PARTIAL	29750	B.1.351	2020-12-28
PP519509.1	South Africa	Africa	PARTIAL	29847	B.1.351	2021-01-11
PP519508.1	South Africa	Africa	PARTIAL	29797	B.1.351	2021-01-11
PP519507.1	South Africa	Africa	PARTIAL	29847	B.1.351	2021-01-12
PP519506.1	South Africa	Africa	PARTIAL	29791	B.1.351	2021-01-12
PP519505.1	South Africa	Africa	PARTIAL	29798	B.1.351	2021-01-11
PP519504.1	South Africa	Africa	PARTIAL	29847	B.1.351	2021-01-09
PP519503.1	South Africa	Africa	PARTIAL	29807	B.1.351	2021-01-13
PP519502.1	South Africa	Africa	PARTIAL	29798	B.1.351	2021-01-02
PP519501.1	South Africa	Africa	PARTIAL	29856	B.1.351	2021-01-19
PP519500.1	South Africa	Africa	PARTIAL	29856	B.1.351	2021-01-06
PP519499.1	South Africa	Africa	PARTIAL	29806	B.1.351	2021-01-03
PP519498.1	South Africa	Africa	PARTIAL	29798	B.1.351	2021-01-11
PP519497.1	South Africa	Africa	PARTIAL	29797	B.1.351	2021-01-14
PP519496.1	South Africa	Africa	PARTIAL	29847	B.1.351	2021-01-13
PP519495.1	South Africa	Africa	PARTIAL	29765	B.1.351	2021-01-14
PP519494.1	South Africa	Africa	PARTIAL	29846	B.1.351	2021-01-22
PP519493.1	South Africa	Africa	PARTIAL	29798	B.1.351	2021-01-27
PP519492.1	South Africa	Africa	PARTIAL	29798	B.1.351	2021-01-17
PP519491.1	South Africa	Africa	PARTIAL	29797	B.1.351	2021-01-21
PP519490.1	South Africa	Africa	PARTIAL	29797	B.1.351	2021-01-05
PP519489.1	South Africa	Africa	PARTIAL	29847	B.1.351	2021-01-04
PP519488.1	South Africa	Africa	PARTIAL	29847	B.1.351	2021-02-25
PP519487.1	South Africa	Africa	PARTIAL	29795	B.1.351	2021-02-22
PP519486.1	South Africa	Africa	PARTIAL	29798	B.1.351	2021-02-25
PP519485.1	South Africa	Africa	PARTIAL	29798	B.1.351	2021-02-22
PP519484.1	South Africa	Africa	PARTIAL	29798	B.1.351	2021-02-22
PP519483.1	South Africa	Africa	PARTIAL	29846	B.1.351	2021-02-22
PP519482.1	South Africa	Africa	PARTIAL	29795	B.1.351	2021-03-02
PP519481.1	South Africa	Africa	PARTIAL	29847	B.1.351	2021-03-03
PP519480.1	South Africa	Africa	PARTIAL	29797	B.1.351	2021-03-05
PP519479.1	South Africa	Africa	PARTIAL	29797	B.1.351	2021-02-17
PP519478.1	South Africa	Africa	PARTIAL	29797	B.1.351	2021-02-17
PP519477.1	South Africa	Africa	PARTIAL	29847	B.1.351	2021-02-16
PP519476.1	South Africa	Africa	PARTIAL	29797	B.1.351	2021-02-08
PP519475.1	South Africa	Africa	PARTIAL	29797	B.1.351	2021-02-09
PP519474.1	South Africa	Africa	PARTIAL	29798	B.1.351	2021-02-09
PP519473.1	South Africa	Africa	PARTIAL	29795	B.1.351	2021-02-01
PP519472.1	South Africa	Africa	PARTIAL	29795	B.1.351	2020-12-30
PP519471.1	South Africa	Africa	PARTIAL	29795	B.1.351	2020-12-28
PP519470.1	South Africa	Africa	PARTIAL	29847	B.1.351	2020-12-30
PP519469.1	South Africa	Africa	PARTIAL	29784	B.1.351	2020-12-22
PP519468.1	South Africa	Africa	PARTIAL	29786	B.1.351	2020-12-22
PP519467.1	South Africa	Africa	PARTIAL	29849	B.1.351	2021-02-03
PP519466.1	South Africa	Africa	PARTIAL	29832	B.1.351	2021-03-01
PP519465.1	South Africa	Africa	PARTIAL	29798	B.1.351	2021-03-01
PP519464.1	South Africa	Africa	PARTIAL	29862	B.1.351	2020-12-22
PP519457.1	South Africa	Africa	PARTIAL	29804	B.1.351	2020-10-15
PP519456.1	South Africa	Africa	PARTIAL	29787	B.1.351	2020-12-01
PP519443.1	South Africa	Africa	PARTIAL	29859	B.1.351	2020-10-27
PP519442.1	South Africa	Africa	PARTIAL	29874	B.1.351	2020-11-05
PP519441.1	South Africa	Africa	PARTIAL	29868	B.1.351	2020-11-13
PP519436.1	South Africa	Africa	PARTIAL	29847	B.1.351	2021-03-02
PP519435.1	South Africa	Africa	PARTIAL	29794	B.1.351	2020-12-21
PP519434.1	South Africa	Africa	PARTIAL	29847	B.1.351	2021-03-08
PP519433.1	South Africa	Africa	PARTIAL	29818	B.1.351	2021-03-26
PP519432.1	South Africa	Africa	PARTIAL	29798	B.1.351	2021-03-17
PP519431.1	South Africa	Africa	PARTIAL	29849	B.1.351	2021-03-06
PP519430.1	South Africa	Africa	PARTIAL	29847	B.1.351	2021-02-24
PP519429.1	South Africa	Africa	PARTIAL	29847	B.1.351	2021-03-08
PP519428.1	South Africa	Africa	PARTIAL	29844	B.1.351	2021-02-16
PP519427.1	South Africa	Africa	PARTIAL	29847	B.1.351	2021-02-17
PP519426.1	South Africa	Africa	PARTIAL	29797	B.1.351	2021-03-01
PP519425.1	South Africa	Africa	PARTIAL	29847	B.1.351	2021-02-17
PP519424.1	South Africa	Africa	PARTIAL	29872	B.1.351	2020-10-19
PP519423.1	South Africa	Africa	PARTIAL	29883	B.1.351	2020-11-13
PP519422.1	South Africa	Africa	PARTIAL	29887	B.1.351	2020-10-19
PP519421.1	South Africa	Africa	PARTIAL	29859	B.1.351	2020-10-20
PP519420.1	South Africa	Africa	PARTIAL	29856	B.1.351	2020-11-13
PP519419.1	South Africa	Africa	PARTIAL	29797	B.1.351	2021-02-04
PP519418.1	South Africa	Africa	PARTIAL	29833	B.1.351	2021-02-01
PP519417.1	South Africa	Africa	PARTIAL	29767	B.1.351	2020-12-27
PP519415.1	South Africa	Africa	PARTIAL	29797	B.1.351	2021-01-27
PP519414.1	South Africa	Africa	PARTIAL	29847	B.1.351	2020-12-31
PP519413.1	South Africa	Africa	PARTIAL	29797	B.1.351	2021-01-25
PP519412.1	South Africa	Africa	PARTIAL	29847	B.1.351	2021-02-19
PP519411.1	South Africa	Africa	PARTIAL	29798	B.1.351	2021-02-09
PP519410.1	South Africa	Africa	PARTIAL	29797	B.1.351	2021-01-15
PP519409.1	South Africa	Africa	PARTIAL	29797	B.1.351	2021-02-08
PP519408.1	South Africa	Africa	PARTIAL	29847	B.1.351	2020-12-31
PP519407.1	South Africa	Africa	PARTIAL	29795	B.1.351	2020-12-28
PP519302.1	South Africa	Africa	PARTIAL	29856	B.1.351	2020-11-19
PP519301.1	South Africa	Africa	PARTIAL	29846	B.1.351	2020-11-20
PP519300.1	South Africa	Africa	PARTIAL	29850	B.1.351	2020-11-20
PP519299.1	South Africa	Africa	PARTIAL	29882	B.1.351	2020-11-19
PP519298.1	South Africa	Africa	PARTIAL	29850	B.1.351	2020-11-20
PP519297.1	South Africa	Africa	PARTIAL	29883	B.1.351	2020-11-19
PP519296.1	South Africa	Africa	PARTIAL	29892	B.1.351	2020-11-20
PP519295.1	South Africa	Africa	PARTIAL	29862	B.1.351	2020-11-20
PP519294.1	South Africa	Africa	PARTIAL	29883	B.1.351	2020-11-20
PP519293.1	South Africa	Africa	PARTIAL	29832	B.1.351	2020-11-19
PP519291.1	South Africa	Africa	PARTIAL	29855	B.1.351	2020-11-18
PP519290.1	South Africa	Africa	PARTIAL	29858	B.1.351	2020-11-19
PP519289.1	South Africa	Africa	PARTIAL	29848	B.1.351	2020-11-18
PP519287.1	South Africa	Africa	PARTIAL	29857	B.1.351	2020-11-18
PP519286.1	South Africa	Africa	PARTIAL	29890	B.1.351	2020-11-19
PP519285.1	South Africa	Africa	PARTIAL	29829	B.1.351	2020-11-19
PP519284.1	South Africa	Africa	PARTIAL	29894	B.1.351	2020-11-18
PP519283.1	South Africa	Africa	COMPLETE	29890	B.1.351	2020-11-19
PP519282.1	South Africa	Africa	PARTIAL	29858	B.1.351	2020-11-18
PP519281.1	South Africa	Africa	PARTIAL	29855	B.1.351	2020-11-19
PP519280.1	South Africa	Africa	PARTIAL	29844	B.1.351	2020-11-18
PP519279.1	South Africa	Africa	PARTIAL	29850	B.1.351	2020-11-18
PP519278.1	South Africa	Africa	PARTIAL	29881	B.1.351	2020-11-18
PP519277.1	South Africa	Africa	PARTIAL	29849	B.1.351	2020-11-20
PP519276.1	South Africa	Africa	PARTIAL	29849	B.1.351	2020-11-19
PP519275.1	South Africa	Africa	PARTIAL	29882	B.1.351	2020-11-19
PP519274.1	South Africa	Africa	PARTIAL	29853	B.1.351	2020-11-20
PP519273.1	South Africa	Africa	PARTIAL	29869	B.1.351	2020-11-20
PP519272.1	South Africa	Africa	PARTIAL	29854	B.1.351	2020-11-20
PP519271.1	South Africa	Africa	PARTIAL	29874	B.1.351	2020-11-19
PP519270.1	South Africa	Africa	PARTIAL	29860	B.1.351	2020-11-20
PP519269.1	South Africa	Africa	PARTIAL	29849	B.1.351	2020-11-20
PP519268.1	South Africa	Africa	PARTIAL	29857	B.1.351	2020-11-20
PP519267.1	South Africa	Africa	PARTIAL	29882	B.1.351	2020-11-20
PP519266.1	South Africa	Africa	PARTIAL	29846	B.1.351	2020-11-20
PP519265.1	South Africa	Africa	PARTIAL	29857	B.1.351	2020-11-19
PP519264.1	South Africa	Africa	PARTIAL	29873	B.1.351	2020-11-24
PP519263.1	South Africa	Africa	PARTIAL	29849	B.1.351	2020-11-24
PP519262.1	South Africa	Africa	PARTIAL	29844	B.1.351	2020-11-24
PP519261.1	South Africa	Africa	PARTIAL	29890	B.1.351	2020-11-25
PP519260.1	South Africa	Africa	PARTIAL	29866	B.1.351	2020-11-24
PP519259.1	South Africa	Africa	PARTIAL	29891	B.1.351	2020-11-24
PP519258.1	South Africa	Africa	PARTIAL	29869	B.1.351	2020-11-24
PP519257.1	South Africa	Africa	PARTIAL	29849	B.1.351	2020-11-24
PP519256.1	South Africa	Africa	PARTIAL	29821	B.1.351	2020-11-24
PP519255.1	South Africa	Africa	PARTIAL	29890	B.1.351	2020-11-24
PP519254.1	South Africa	Africa	PARTIAL	29856	B.1.351	2020-11-25
PP519253.1	South Africa	Africa	PARTIAL	29856	B.1.351	2020-11-25
PP519252.1	South Africa	Africa	COMPLETE	29849	B.1.351	2020-11-25
PP519251.1	South Africa	Africa	PARTIAL	29880	B.1.351	2020-11-25
PP519250.1	South Africa	Africa	PARTIAL	29869	B.1.351	2020-11-24
PP519249.1	South Africa	Africa	PARTIAL	29863	B.1.351	2020-11-24
PP519247.1	South Africa	Africa	COMPLETE	29836	B.1.351	2020-11-24
PP519246.1	South Africa	Africa	PARTIAL	29816	B.1.351	2020-11-24
PP519245.1	South Africa	Africa	PARTIAL	29873	B.1.351	2020-11-24
PP519244.1	South Africa	Africa	PARTIAL	29813	B.1.351	2020-11-24
PP519243.1	South Africa	Africa	PARTIAL	29849	B.1.351	2020-11-24
PP519242.1	South Africa	Africa	PARTIAL	29806	B.1.351	2020-11-24
PP519241.1	South Africa	Africa	PARTIAL	29849	B.1.351	2020-11-24
PP519240.1	South Africa	Africa	PARTIAL	29827	B.1.351	2020-11-24
PP519239.1	South Africa	Africa	PARTIAL	29866	B.1.351	2020-11-24
PP519238.1	South Africa	Africa	PARTIAL	29852	B.1.351	2020-11-24
PP519237.1	South Africa	Africa	PARTIAL	29858	B.1.351	2020-11-24
PP519236.1	South Africa	Africa	COMPLETE	29879	B.1.351	2020-11-24
PP519229.1	South Africa	Africa	PARTIAL	29848	B.1.351	2020-11-12
PP519228.1	South Africa	Africa	PARTIAL	29811	B.1.351	2020-11-12
PP519226.1	South Africa	Africa	PARTIAL	29831	B.1.351	2020-11-04
PP519225.1	South Africa	Africa	PARTIAL	29828	B.1.351	2020-11-13
PP519224.1	South Africa	Africa	PARTIAL	29812	B.1.351	2020-10-28
PP519223.1	South Africa	Africa	PARTIAL	29881	B.1.351	2020-11-13
PP519222.1	South Africa	Africa	PARTIAL	29868	B.1.351	2020-11-12
PP519221.1	South Africa	Africa	COMPLETE	29857	B.1.351	2020-10-30
PP519220.1	South Africa	Africa	COMPLETE	29822	B.1.351	2020-11-12
PP519219.1	South Africa	Africa	PARTIAL	29853	B.1.351	2020-11-12
PP519218.1	South Africa	Africa	COMPLETE	29886	B.1.351	2020-11-03
PP519217.1	South Africa	Africa	COMPLETE	29873	B.1.351	2020-11-05
PP519216.1	South Africa	Africa	PARTIAL	29873	B.1.351	2020-11-05
PP519215.1	South Africa	Africa	PARTIAL	29855	B.1.351	2020-11-13
PP519214.1	South Africa	Africa	PARTIAL	29847	B.1.351	2020-10-26
PP519213.1	South Africa	Africa	COMPLETE	29873	B.1.351	2020-11-13
PP519212.1	South Africa	Africa	PARTIAL	29842	B.1.351	2020-11-13
PP519211.1	South Africa	Africa	COMPLETE	29863	B.1.351	2020-10-22
PP519210.1	South Africa	Africa	PARTIAL	29883	B.1.351	2020-11-02
PP519209.1	South Africa	Africa	COMPLETE	29863	B.1.351	2020-11-06
PP519208.1	South Africa	Africa	PARTIAL	29850	B.1.351	2020-10-15
PP519207.1	South Africa	Africa	PARTIAL	29850	B.1.351	2020-11-13
PP519206.1	South Africa	Africa	PARTIAL	29847	B.1.351	2020-11-13
PP519202.1	South Africa	Africa	PARTIAL	29865	B.1.351	2020-11-06
PP519201.1	South Africa	Africa	COMPLETE	29868	B.1.351	2020-10-22
PP519200.1	South Africa	Africa	COMPLETE	29883	B.1.351	2020-10-20
PP519199.1	South Africa	Africa	COMPLETE	29883	B.1.351	2020-10-20
PP519196.1	South Africa	Africa	PARTIAL	29828	B.1.351	2020-11-13
PP519194.1	South Africa	Africa	COMPLETE	29890	B.1.351	2020-11-02
PP519192.1	South Africa	Africa	PARTIAL	29856	B.1.351	2020-10-22
PP519191.1	South Africa	Africa	PARTIAL	29894	B.1.351	2020-11-05
PP519188.1	South Africa	Africa	PARTIAL	29876	B.1.351	2020-10-29
PP519187.1	South Africa	Africa	PARTIAL	29883	B.1.351	2020-11-02
PP519185.1	South Africa	Africa	PARTIAL	29857	B.1.351	2020-11-12
PP519182.1	South Africa	Africa	PARTIAL	29846	B.1.351	2020-11-12
PP519180.1	South Africa	Africa	PARTIAL	29855	B.1.351	2020-10-23
PP519179.1	South Africa	Africa	PARTIAL	29885	B.1.351	2020-10-23
PP519177.1	South Africa	Africa	PARTIAL	29868	B.1.351	2020-11-13
PP519175.1	South Africa	Africa	PARTIAL	29823	B.1.351	2020-11-06
PP519172.1	South Africa	Africa	COMPLETE	29882	B.1.351	2020-10-15
PP519168.1	South Africa	Africa	PARTIAL	29864	B.1.351	2020-11-03
PP519165.1	South Africa	Africa	PARTIAL	29848	B.1.351	2020-11-02
PP519163.1	South Africa	Africa	PARTIAL	29833	B.1.351	2020-11-13
PP519162.1	South Africa	Africa	PARTIAL	29864	B.1.351	2020-11-04
PP519161.1	South Africa	Africa	PARTIAL	29856	B.1.351	2020-11-13
PP519152.1	South Africa	Africa	PARTIAL	29844	B.1.351	2020-11-12
PP519151.1	South Africa	Africa	PARTIAL	29892	B.1.351	2020-11-13
PP519147.1	South Africa	Africa	PARTIAL	29856	B.1.351	2020-11-05
PP519146.1	South Africa	Africa	PARTIAL	29872	B.1.351	2020-11-06
PP519140.1	South Africa	Africa	PARTIAL	29890	B.1.351	2020-10-28
PP519139.1	South Africa	Africa	PARTIAL	29863	B.1.351	2020-10-26
PP519138.1	South Africa	Africa	PARTIAL	29892	B.1.351	2020-11-13
PP519131.1	South Africa	Africa	PARTIAL	29856	B.1.351	2020-11-12
PP519130.1	South Africa	Africa	PARTIAL	29859	B.1.351	2020-10-15
PP519127.1	South Africa	Africa	PARTIAL	29893	B.1.351	2020-11-02
PP519121.1	South Africa	Africa	PARTIAL	29856	B.1.351	2020-10-28
PP519112.1	South Africa	Africa	COMPLETE	29882	B.1.351	2020-11-04
PP519110.1	South Africa	Africa	PARTIAL	29810	B.1.351	2020-10-22
PP519104.1	South Africa	Africa	COMPLETE	29877	B.1.351	2020-10-23
PP519102.1	South Africa	Africa	PARTIAL	29891	B.1.351	2020-10-27
PP519093.1	South Africa	Africa	PARTIAL	29808	B.1.351	2020-12-04
PP519092.1	South Africa	Africa	PARTIAL	29846	B.1.351	2020-12-04
PP519091.1	South Africa	Africa	PARTIAL	29795	B.1.351	2020-12-03
PP519090.1	South Africa	Africa	PARTIAL	29795	B.1.351	2020-12-02
PP519089.1	South Africa	Africa	PARTIAL	29787	B.1.351	2020-12-02
PP519088.1	South Africa	Africa	PARTIAL	29774	B.1.351	2020-12-01
PP519087.1	South Africa	Africa	PARTIAL	29856	B.1.351	2020-12-01
PP519086.1	South Africa	Africa	PARTIAL	29786	B.1.351	2020-12-01
PP519085.1	South Africa	Africa	PARTIAL	29781	B.1.351	2020-12-01
PP519084.1	South Africa	Africa	PARTIAL	29788	B.1.351	2020-12-01
PP519083.1	South Africa	Africa	PARTIAL	29795	B.1.351	2020-12-01
PP519082.1	South Africa	Africa	PARTIAL	29772	B.1.351	2020-11-30
PP519080.1	South Africa	Africa	PARTIAL	29686	B.1.351	2020-11-30
PP519079.1	South Africa	Africa	PARTIAL	29804	B.1.351	2020-11-30
PP519078.1	South Africa	Africa	PARTIAL	29787	B.1.351	2020-11-30
PP519077.1	South Africa	Africa	PARTIAL	29785	B.1.351	2020-11-30
PP519076.1	South Africa	Africa	PARTIAL	29779	B.1.351	2020-11-29
PP519075.1	South Africa	Africa	PARTIAL	29800	B.1.351	2020-11-28
PP519074.1	South Africa	Africa	PARTIAL	29785	B.1.351	2020-11-05
PP519073.1	South Africa	Africa	PARTIAL	29786	B.1.351	2020-11-05
PP519070.1	South Africa	Africa	PARTIAL	29795	B.1.351	2020-11-04
PP519068.1	South Africa	Africa	PARTIAL	29766	B.1.351	2020-11-02
PP519067.1	South Africa	Africa	PARTIAL	29789	B.1.351	2020-11-02
PP519066.1	South Africa	Africa	PARTIAL	29781	B.1.351	2020-11-01
PP519065.1	South Africa	Africa	PARTIAL	29804	B.1.351	2020-10-28
PP519063.1	South Africa	Africa	PARTIAL	29806	B.1.351	2020-10-23
PP519060.1	South Africa	Africa	PARTIAL	29804	B.1.351	2020-10-19
PP519058.1	South Africa	Africa	PARTIAL	29795	B.1.351	2020-10-18
PP519027.1	South Africa	Africa	PARTIAL	29827	B.1.351	2021-01-12
PP519026.1	South Africa	Africa	PARTIAL	29828	B.1.351	2021-01-12
PP519025.1	South Africa	Africa	PARTIAL	29824	B.1.351	2021-01-02
PP519023.1	South Africa	Africa	PARTIAL	29820	B.1.351	2021-01-11
PP519022.1	South Africa	Africa	PARTIAL	29809	B.1.351	2021-01-11
PP519021.1	South Africa	Africa	PARTIAL	29812	B.1.351	2021-01-12
PP519020.1	South Africa	Africa	PARTIAL	29825	B.1.351	2021-01-12
PP519019.1	South Africa	Africa	PARTIAL	29810	B.1.351	2021-01-11
PP519018.1	South Africa	Africa	PARTIAL	29827	B.1.351	2021-01-11
PP519017.1	South Africa	Africa	COMPLETE	29830	B.1.351	2021-01-09
PP519016.1	South Africa	Africa	PARTIAL	29822	B.1.351	2021-01-06
PP519015.1	South Africa	Africa	PARTIAL	29826	B.1.351	2021-01-04
PP519014.1	South Africa	Africa	PARTIAL	29810	B.1.351	2021-01-04
PP519013.1	South Africa	Africa	PARTIAL	29814	B.1.351	2021-01-02
PP519012.1	South Africa	Africa	PARTIAL	29813	B.1.351	2021-01-01
PP519011.1	South Africa	Africa	COMPLETE	29805	B.1.351	2021-01-05
PP519010.1	South Africa	Africa	PARTIAL	29846	B.1.351	2021-01-11
PP519009.1	South Africa	Africa	COMPLETE	29818	B.1.351	2021-01-01
PP519005.1	South Africa	Africa	PARTIAL	29804	B.1.351	2020-12-28
PP519004.1	South Africa	Africa	PARTIAL	29808	B.1.351	2020-12-29
PP519001.1	South Africa	Africa	PARTIAL	29818	B.1.351	2020-12-17
PP519000.1	South Africa	Africa	PARTIAL	29804	B.1.351	2020-12-02
PP518999.1	South Africa	Africa	PARTIAL	29835	B.1.351	2020-12-24
PP518998.1	South Africa	Africa	PARTIAL	29817	B.1.351	2020-12-25
PP518997.1	South Africa	Africa	PARTIAL	29813	B.1.351	2020-12-17
PP518996.1	South Africa	Africa	PARTIAL	29795	B.1.351	2020-12-21
PP518994.1	South Africa	Africa	PARTIAL	29860	B.1.351	2020-12-31
PP518991.1	South Africa	Africa	PARTIAL	29853	B.1.351	2020-12-25
PP518990.1	South Africa	Africa	PARTIAL	29831	B.1.351	2020-12-30
PP518989.1	South Africa	Africa	PARTIAL	29818	B.1.351	2020-12-29
PP518988.1	South Africa	Africa	PARTIAL	29828	B.1.351	2020-12-29
PP518987.1	South Africa	Africa	PARTIAL	29817	B.1.351	2020-12-29
PP518986.1	South Africa	Africa	PARTIAL	29825	B.1.351	2020-12-28
PP518985.1	South Africa	Africa	PARTIAL	29829	B.1.351	2020-12-28
PP518984.1	South Africa	Africa	PARTIAL	29821	B.1.351	2020-12-28
PP518983.1	South Africa	Africa	PARTIAL	29828	B.1.351	2020-12-28
PP518982.1	South Africa	Africa	PARTIAL	29826	B.1.351	2020-12-28
PP518981.1	South Africa	Africa	PARTIAL	29856	B.1.351	2020-12-27
PP518980.1	South Africa	Africa	PARTIAL	29817	B.1.351	2020-12-26
